,Video URL,Video Type,Selling Point,Hook Type,Price Range,Category,Price Range Labels
139,https://www.tiktok.com/@jordantheodore/video/7288063812752674090,Show Face,Sell Why,Review Feedback,100,Health Wellness,Between $100 and $150
140,https://www.tiktok.com/@dumbthic/video/7306374683677429034,Show Face,Sell Benefit,Review Feedback,50,Health Wellness,Between $50 and $100
141,https://www.tiktok.com/@quishealth/video/7292848882797595950,Show Face,Sell Benefit,Review Feedback,50,Health Wellness,Between $50 and $100
142,https://www.tiktok.com/@vidavictoriaoficial/video/7297652498188356906,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
143,https://www.tiktok.com/@mexicanbarbie1/video/7283924471637986603,Show Face,Sell Why,Question,0,Health Wellness,Less than $50
144,https://www.tiktok.com/@dumbthic/video/7301548674063027498,Show Face,Sell Benefit,Question,50,Health Wellness,Between $50 and $100
145,https://www.tiktok.com/@mexicanbarbie1/video/7300993053521710379,Show Face,Sell Benefit,Question,0,Health Wellness,Less than $50
146,https://www.tiktok.com/@ryse_supps/video/7303610339675966762,Show Face,Sell Benefit,Review Feedback,50,Health Wellness,Between $50 and $100
147,https://www.tiktok.com/@baxter_fit/video/7301120510455418158,Show Face,Sell Why,Question,50,Health Wellness,Between $50 and $100
148,https://www.tiktok.com/@mexicanbarbie1/video/7300220208495611178,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
149,https://www.tiktok.com/@smiley_kylie444/video/7294411044452125994,Show Face,Sell Why,Question,50,Health Wellness,Between $50 and $100
150,https://www.tiktok.com/@kikevillaloboscal/video/7299611809986792746,Show Face,Sell Benefit,Question,0,Health Wellness,Less than $50
151,https://www.tiktok.com/@lopeztips/video/7305978944669502766,Show Face,Sell Benefit,Question,0,Health Wellness,Less than $50
152,https://www.tiktok.com/@yanlock_zl/video/7291209574097407234,Show Face,Sell How To,Review Feedback,0,Home Appliances,Less than $50
153,https://www.tiktok.com/@selenagomehh/video/7302015789652118786,Faceless,Sell Benefit,Question,0,Beauty,Less than $50
154,https://www.tiktok.com/@elynasyar/video/7306516714290760961,Show Face,Sell Benefit,Review Feedback,0,Clothing,Less than $50
155,https://www.tiktok.com/@mokdeleha/video/7292759746971454722,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
156,https://www.tiktok.com/@diyhomie/video/7261527390109633793,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
157,https://www.tiktok.com/@diyhomie/video/7286386451380473096,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
158,https://www.tiktok.com/@dapur_zakiah05/video/7304083631620902145,Show Face,Sell How To,Question,0,Home Appliances,Less than $50
159,https://www.tiktok.com/@lifestylehouse67/video/7296833428438240514,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
160,https://www.tiktok.com/@diyhomie/video/7294775851172859143,Show Face,Sell How To,Review Feedback,0,Home Appliances,Less than $50
161,https://www.tiktok.com/@tehafateha_hennamelaka/video/7297555664262532360,Faceless,Sell How To,Review Feedback,0,Beauty,Less than $50
162,https://www.tiktok.com/@dessini_malaysia/video/7287033033578777857,Show Face,Sell Benefit,Review Feedback,50,Home Appliances,Between $50 and $100
163,https://www.tiktok.com/@tangsiewsiang/video/7297050101627784466,Show Face,Sell Benefit,Review Feedback,50,Home Appliances,Between $50 and $100
164,https://www.tiktok.com/@anaszahrin/video/7297436570632736001,Faceless,Sell How To,Question,0,Beauty,Less than $50
165,https://www.tiktok.com/@nynabukater/video/7296467628426611986,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
166,https://www.tiktok.com/@anaszahrin/video/7304534422492138753,Faceless,Sell Why,Review Feedback,0,Beauty,Less than $50
167,https://www.tiktok.com/@brikhasha01/video/7290519906011991297,Faceless,Sell Benefit,Review Feedback,0,Beauty,Less than $50
168,https://www.tiktok.com/@klikbegkuning/video/7297908987335396609,Faceless,Sell How To,Review Feedback,0,Home Appliances,Less than $50
169,https://www.tiktok.com/@quemandagae/video/7292693919614110978,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
170,https://www.tiktok.com/@leezdeluna/video/7297019164718304519,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
171,https://www.tiktok.com/@amf.ain/video/7286113085004270855,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
172,https://www.tiktok.com/@justmiinees/video/7283579805075819777,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
173,https://www.tiktok.com/@najeehahhq/video/7281947233048694023,Show Face,Sell Benefit,Review Feedback,0,Pet,Less than $50
174,https://www.tiktok.com/@kaknurulrx/video/7289018317170298114,Faceless,Sell Benefit,Review Feedback,50,Health Wellness,Between $50 and $100
175,https://www.tiktok.com/@jieman22/video/7284459388625014017,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
176,https://www.tiktok.com/@kitsuimalaysia/video/7292981772432854274,Faceless,Sell Why,Review Feedback,0,Health Wellness,Less than $50
177,https://www.tiktok.com/@adilinahmad/video/7299770989481577736,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
178,https://www.tiktok.com/@pharmacistjanet/video/7284515022531792146,Show Face,Sell How To,Question,50,Health Wellness,Between $50 and $100
179,https://www.tiktok.com/@srima_7/video/7304975582943628546,Faceless,Sell How To,Question,50,Health Wellness,Between $50 and $100
180,https://www.tiktok.com/@kak_jura_magika/video/7295569483970710791,Show Face,Sell Why,Review Feedback,50,Health Wellness,Between $50 and $100
181,https://www.tiktok.com/@adilinahmad/video/7269984283605994770,Show Face,Sell Benefit,Question,0,Health Wellness,Less than $50
182,https://www.tiktok.com/@pharmacistariff/video/7303047797207518471,Show Face,Sell How To,Question,50,Health Wellness,Between $50 and $100
183,https://www.tiktok.com/@abangjohempedurimba/video/7298562806599683335,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
184,https://www.tiktok.com/@hn_shop75/video/7288488677561355521,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
185,https://www.tiktok.com/@hafle.hs/video/7291945870390512897,Show Face,Sell Why,Review Feedback,0,Beauty,Less than $50
186,https://www.tiktok.com/@izzahtulatirah/video/7282774078086221063,Faceless,Sell Why,Review Feedback,0,Beauty,Less than $50
187,https://www.tiktok.com/@garniermy/video/7272633350098046226,Faceless,Sell Benefit,Review Feedback,0,Beauty,Less than $50
188,https://www.tiktok.com/@bleedt1tz2/video/7293746537190919426,Show Face,Sell How To,Question,0,Beauty,Less than $50
189,https://www.tiktok.com/@mommy.fatin/video/7302326170467470610,Show Face,Sell How To,Question,0,Beauty,Less than $50
190,https://www.tiktok.com/@chekja2/video/7286392933140466945,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
191,https://www.tiktok.com/@youbeauty_my/video/7303872225352961298,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
192,https://www.tiktok.com/@mommy.fatin/video/7297800152427875602,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
193,https://www.tiktok.com/@faa4sh/video/7293152009954266369,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
194,https://www.tiktok.com/@eminacosmeticsmy/video/7293524073097760002,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
195,https://www.tiktok.com/@aredam87/video/7293977468237597960,Faceless,Sell Benefit,Question,0,Beauty,Less than $50
196,https://www.tiktok.com/@fatihahyusup/video/7289398985301724418,Show Face,Sell How To,Question,0,Beauty,Less than $50
197,https://www.tiktok.com/@oriperfumetopsale/video/7291685622203288850,Show Face,Sell Benefit,Review Feedback,50,Home Appliances,Between $50 and $100
198,https://www.tiktok.com/@lizasaid8/video/7296032944647556354,Show Face,Sell Benefit,Review Feedback,0,Clothing,Less than $50
199,https://www.tiktok.com/@shafarhan28/video/7298894858771500295,Show Face,Sell Benefit,Review Feedback,0,Pet,Less than $50
200,https://www.tiktok.com/@iamtraeh/video/7294794104888773930,Faceless,Sell How To,Review Feedback,0,Beauty,Less than $50
201,https://www.tiktok.com/@red_rapunzell/video/7288501985903430942,Show Face,Sell How To,Review Feedback,0,Beauty,Less than $50
202,https://www.tiktok.com/@rayslife_/video/7301515434958818603,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
203,https://www.tiktok.com/@pandoramonrose/video/7286506134431599914,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
204,https://www.tiktok.com/@mo__styles/video/7301371700262800682,Show Face,Sell Why,Question,0,Beauty,Less than $50
205,https://www.tiktok.com/@desiredestinyxo/video/7300225303283125550,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
206,https://www.tiktok.com/@michellelong_tx/video/7287410505478655262,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
207,https://www.tiktok.com/@cassidymariehair/video/7295893760129518891,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
